Partlist

Exported from ABK-ECS - Rev A2.brd at 2017-09-08 3:27 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value            Package             Library                                      Position (mm)         Orientation
OK2      TLP283-4         MINI-FLAT-16        optocoupler                                  (14.275 64.135)       R270
OK3      TLP283-4         MINI-FLAT-16        optocoupler                                  (73.965 48.895)       R90
OK4      TLP283-4         MINI-FLAT-16        optocoupler                                  (56.185 48.895)       R90
R1       4K7              R0603               rcl                                          (39.37 11.7475)       R270
R2       4K7              R0603               rcl                                          (37.465 11.735)       R90
R3       4K7              R0603               rcl                                          (46.025 12.065)       R0
R4       4K7              R0603               rcl                                          (42.215 12.065)       R180
R5       0R               R0603               rcl                                          (20.32 32.385)        R270
R6       33               R0603               rcl                                          (60.63 14.605)        R90
R7       33               R0603               rcl                                          (58.344 14.605)       R90
R8       1K5              R0603               rcl                                          (63.805 13.6525)      R180
R9       1K5              R0603               rcl                                          (55.55 13.589)        R0
R10      10K              R0603               rcl                                          (16.815 41.91)        R0
R11      0R               R0603               rcl                                          (16.18 38.735)        R90
R12      0R               R0603               rcl                                          (18.72 38.735)        R90
R13      10K              R0603               rcl                                          (16.815 32.385)       R270
R14      1K5              R0603               rcl                                          (52.0825 7.62)        R90
R15      1K5              R0603               rcl                                          (46.3675 7.62)        R90
R16      31K6             R0603               rcl                                          (86.665 29.21)        R180
R17      31K6             R0603               rcl                                          (86.665 10.795)       R180
R18      4K7              R0603               rcl                                          (85.395 36.83)        R180
R19      4K7              R0603               rcl                                          (85.395 39.6875)      R180
R20      52K3             R0603               rcl                                          (82.855 23.495)       R180
R21      10K              R0603               rcl                                          (86.665 23.495)       R180
R22      31K6             R0603               rcl                                          (82.728 5.08)         R180
R23      10K              R0603               rcl                                          (86.665 5.08)         R180
R24      1K5              R0603               rcl                                          (78.537 24.003)       R0
R25      1K5              R0603               rcl                                          (78.6005 5.7785)      R0
R26      100              R0603               rcl                                          (88.57 68.58)         R180
R27      1K               R0603               rcl                                          (35.23 70.485)        R270
R28      1K               R0603               rcl                                          (32.69 70.485)        R270
R29      1K               R0603               rcl                                          (30.15 70.485)        R270
R30      1K               R0603               rcl                                          (27.61 70.485)        R270
R31      1K               R0603               rcl                                          (35.865 57.15)        R270
R32      1K               R0603               rcl                                          (32.055 57.15)        R270
R33      1K               R0603               rcl                                          (28.245 57.15)        R270
R34      1K               R0603               rcl                                          (24.435 57.15)        R270
R35      4K7              R0603               rcl                                          (33.96 57.15)         R90
R36      4K7              R0603               rcl                                          (30.15 57.15)         R90
R37      4K7              R0603               rcl                                          (26.34 57.15)         R90
R38      4K7              R0603               rcl                                          (22.53 57.15)         R90
R39      4K7              R0603               rcl                                          (94.92 52.07)         R90
R40      100              R0603               rcl                                          (91.745 50.8)         R180
R41      1K5              R0603               rcl                                          (90.475 55.245)       R180
R42      1K               R0603               rcl                                          (18.72 70.485)        R270
R43      1K               R0603               rcl                                          (16.18 70.485)        R270
R44      1K               R0603               rcl                                          (13.64 70.485)        R270
R45      1K               R0603               rcl                                          (11.1125 70.485)      R270
R46      1K               R0603               rcl                                          (19.355 57.15)        R270
R47      1K               R0603               rcl                                          (15.545 57.15)        R270
R48      1K               R0603               rcl                                          (11.735 57.15)        R270
R49      1K               R0603               rcl                                          (7.9375 57.15)        R270
R50      4K7              R0603               rcl                                          (17.45 57.15)         R90
R51      4K7              R0603               rcl                                          (13.64 57.15)         R90
R52      4K7              R0603               rcl                                          (9.83 57.15)          R90
R53      4K7              R0603               rcl                                          (6.0325 57.15)        R90
R54      1K5              R0603               rcl                                          (41.91 56.5275)       R180
R55      1K5              R0603               rcl                                          (39.04 49.53)         R270
R56      1K5              R0603               rcl                                          (37.135 49.53)        R270
R57      1K5              R0603               rcl                                          (24.435 49.53)        R270
R58      1K5              R0603               rcl                                          (22.53 49.53)         R270
R59      1K5              R0603               rcl                                          (20.625 49.53)        R270
R60      1K5              R0603               rcl                                          (18.72 49.53)         R270
R61      1K5              R0603               rcl                                          (6.02 49.53)          R270
R62      1K5              R0603               rcl                                          (4.1275 49.53)        R270
R63      10K              R0603               rcl                                          (46.66 70.485)        MR90
R64      330              R0603               rcl                                          (43.51 66.04)         R0
R65      100              R0603               rcl                                          (44.45 59.0675)       R270
R66      10K              R0603               rcl                                          (69.52 70.485)        MR90
R67      10K              R0603               rcl                                          (73.33 70.485)        MR90
R68      10K              R0603               rcl                                          (77.14 70.485)        MR90
R69      10K              R0603               rcl                                          (80.95 70.485)        MR90
R70      330              R0603               rcl                                          (67.9325 66.04)       R0
R71      330              R0603               rcl                                          (72.3775 66.04)       R0
R72      330              R0603               rcl                                          (76.8225 66.04)       R0
R73      330              R0603               rcl                                          (81.2675 66.04)       R0
R74      100              R0603               rcl                                          (69.52 59.055)        R90
R75      100              R0603               rcl                                          (74.2825 59.055)      R90
R76      100              R0603               rcl                                          (78.7275 59.055)      R90
R77      100              R0603               rcl                                          (82.855 59.055)       R90
R78      1K5              R0603               rcl                                          (80.315 46.99)        R270
R79      1K5              R0603               rcl                                          (82.855 46.99)        R270
R80      1K5              R0603               rcl                                          (85.395 46.99)        R270
R81      1K5              R0603               rcl                                          (87.935 46.99)        R270
R82      4K7              R0603               rcl                                          (67.615 59.055)       R90
R83      4K7              R0603               rcl                                          (72.3775 59.055)      R90
R84      4K7              R0603               rcl                                          (76.8225 59.055)      R90
